NA#,Name,Party
79,Muhammad Akram,AOAT
79,Asjad Hussain,Independent
79,Babar Maqbool Qazi,Independent
79,Ch. Adil Buksh Chattha,Independent
79,Johar Sarwar Cheema,Independent
79,Malik Abdul Rehman Sadi,Independent
79,Miraj Din,Independent
79,Muhammad Amin,Independent
79,Muhammad Arshad,Independent
79,Muhammad Umer Usman,Independent
79,Nisar Ahmed Cheema,PMLN
79,Ch. Ijaz Ahmed Cheema,PPPP
79,Mohammed Ahmed Chattha,PTI
79,Muhammad Fayyaz,TLP
80,Zabeeh Ullah Balaggan,AOAT
80,Amir yaqoob Waraich,Independent
80,Imtiaz Safdar Warraich,Independent
80,Muammad Nasir Cheema,Independent
80,Muhammad Arshad,Independen
80,Muhammad Aslam,Independent
80,Qazi Wasif Nadeem,Independent
80,Rana Naeem Ur Rehman Kh..,Independent
80,Shazia Bano Mazhar Java..,Independent
80,Sultan Ahmad Warraich,Independent
80,Uzair Ahmed,Independent
80,Zain Ali Bhatti,Independent
80,Muhammad Ubaid Ullah,MMAP
80,Ch Mehmood Bashir Virk,PMLN
80,Rao Ikram Ali Khan,PPPP
80,Tariq Mehmood,PTI
80,Muhammad Ahmed,TLP
81,Muhammad Naseem Sadiq,ALPP
81,Shahid Hameed,AOAT
81,Atif Farid Sabir Khan,Independent
81,Kashif Sabir Khan,Independent
81,Muhammad Rafiq,Independent
81,Nasir Afzal,Independent
81,Naveed Anwar Bhinder,Independent
81,Usman Saeed,Independent
81,Hameed Ud Din Awan,MMAP
81,Khurram Dastgir Khan,PMLN
81,Muhammad Anas Amjad,PPPP
81,Chaudhry Muhammad Siddi,PTI
81,Muhammad Ishaq,TLP
82,Abdul Karim,AAP
82,Nafisa Tahira,ALPP
82,Aman Ullah Butt,AOAT
82,Ahsan Yousaf,Independent
82,Ch. Muhammad Younas Ali,Independent
82,Faisal Adnan Sandhu,Independent
82,Muhammad Farooq,Independent
82,Muhammad Imran,Independent
82,Shahid Usman,Independent
82,Shoukat Ali,Independent
82,Usman Ashraf,Independent
82,Usman Ibrahim S/O Maqso,Independent
82,Muhammad Furqan Aziz Bu,MMAP
82,Usman Ibrahim S/O Muham,Independent
82,Lshaq Akbar,PPPP
82,Ali Ashraf Mughal,PTI
82,Muhammad Ashraf Asif,TLI
82,Shahbaz Khan,TLP
82,Usman Saif,TTNP
83,Chaudhary Zulfiqar Ali Bhinder,PMLN
83,Rana Nazir Ahmed Khan,PTI
83,Ch.Zaka Ullah Baryar,Independent
83,Ch.Ali Wakeel Khan,Independent
83,Rana Umar Nazir Khan,Independent
83,Saeed Yousaf Bhindar,Independent
83,Shabaz Ahmad,Independent
83,Qamar Hussain,PTIG
83,Muhammad Nasir Mehmood,TLP
83,Mian Asif Ali,PPPP
84,Azhar Qayum Nahra,PMLN
84,Ch. Zulfiqar Ali,PPPP
84,Ch Bilal Ejaz,PTI
84,Aytzaz Ijaz,Independent
84,Rab Nawaz Cheema,Independent
84,Abid Sohail Virk,AOAT
84,Amir Ali Hussain Khan,Independent
84,Qasim Ali,Independent
84,Muhammad Ishaq Khan,Independent
84,Muhammad Islam ,Independent
84,Muhammad Asghar,Independent
84,Muhammad Muhibb Uddeen,TLP
